Video konumu (%),Mutlak kitle tutma (%)
0,88.46
1,65.38
2,61.54
3,46.15
4,50
5,50
6,42.31
7,46.15
8,42.31
9,38.46
10,38.46
11,38.46
12,38.46
13,38.46
14,38.46
15,38.46
16,42.31
17,42.31
18,38.46
19,38.46
20,42.31
21,42.31
22,42.31
23,42.31
24,42.31
25,42.31
26,42.31
27,38.46
28,42.31
29,42.31
30,42.31
31,38.46
32,42.31
33,42.31
34,38.46
35,42.31
36,50
37,38.46
38,38.46
39,38.46
40,38.46
41,42.31
42,38.46
43,46.15
44,53.85
45,61.54
46,46.15
47,38.46
48,42.31
49,38.46
50,38.46
51,38.46
52,34.62
53,34.62
54,34.62
55,34.62
56,34.62
57,34.62
58,34.62
59,34.62
60,34.62
61,34.62
62,34.62
63,38.46
64,34.62
65,34.62
66,34.62
67,34.62
68,38.46
69,34.62
70,34.62
71,34.62
72,34.62
73,34.62
74,34.62
75,34.62
76,34.62
77,34.62
78,34.62
79,34.62
80,34.62
81,38.46
82,34.62
83,34.62
84,34.62
85,34.62
86,38.46
87,38.46
88,34.62
89,34.62
90,34.62
91,30.77
92,30.77
93,26.92
94,26.92
95,26.92
96,26.92
97,26.92
98,19.23
99,19.23
